#Time(Localtime),Temperature(degC),Pressure(Pa)
2015-08-08 18:35:39.425413,31.2,98127
2015-08-08 18:35:39.642851,31.2,98133
2015-08-08 18:35:40.655472,31.2,98139
2015-08-08 18:35:41.667921,31.2,98130
2015-08-08 18:35:42.690753,31.2,98133
2015-08-08 18:35:43.693494,31.1,98121
2015-08-08 18:35:44.710346,31.1,98112
2015-08-08 18:35:45.719011,31.1,98109
2015-08-08 18:35:46.731429,31.1,98095
2015-08-08 18:35:47.743521,31.1,98086
2015-08-08 18:35:48.755502,31.2,98109
2015-08-08 18:35:49.780580,31.1,98118
2015-08-08 18:35:50.781380,31.1,98109
2015-08-08 18:35:51.794245,31.1,98109
2015-08-08 18:35:52.806227,31.1,98104
2015-08-08 18:35:53.818613,31.2,98109
2015-08-08 18:36:06.264088,31.2,98112
2015-08-08 18:36:06.284512,31.2,98121
2015-08-08 18:36:06.317492,31.1,98124
2015-08-08 18:36:06.356989,31.1,98127
2015-08-08 18:36:06.391440,31.2,98124
2015-08-08 18:36:06.412602,31.2,98133
2015-08-08 18:36:06.435566,31.2,98115
2015-08-08 18:36:06.454782,31.2,98127
2015-08-08 18:36:06.463353,31.2,98121
2015-08-08 18:36:06.483600,31.1,98118
2015-08-08 18:36:06.504526,31.2,98121
2015-08-08 18:36:06.523274,31.2,98127
2015-08-08 18:36:06.982425,31.2,98121
2015-08-08 18:36:08.769618,31.2,98121
2015-08-08 18:36:09.007082,31.2,98112
2015-08-08 18:36:10.019681,31.2,98121
2015-08-08 18:36:11.032909,31.1,98124
2015-08-08 18:36:12.044869,31.2,98115
2015-08-08 18:36:13.057999,31.2,98115
2015-08-08 18:36:14.071589,31.1,98109
2015-08-08 18:36:15.082491,31.1,98127
2015-08-08 18:36:16.099119,31.1,98121
2015-08-08 18:36:17.107579,31.1,98118
2015-08-08 18:36:18.124423,31.2,98118
2015-08-08 18:36:19.133173,31.1,98118
2015-08-08 18:36:20.145724,31.1,98115
2015-08-08 18:36:21.160183,31.2,98121
2015-08-08 18:36:22.170091,31.1,98124
2015-08-08 18:36:26.439073,31.1,98124
2015-08-08 18:36:26.450698,31.2,98124
2015-08-08 18:36:26.459307,31.2,98133
2015-08-08 18:36:26.467860,31.1,98133
2015-08-08 18:36:27.233792,31.2,98139
2015-08-08 18:36:28.245931,31.2,98145
2015-08-08 18:36:29.258677,31.2,98142
2015-08-08 18:36:30.271002,31.1,98145
2015-08-08 18:36:31.283950,31.2,98148
2015-08-08 18:36:32.296369,31.2,98133
2015-08-08 18:36:33.308219,31.2,98139
2015-08-08 18:36:34.321822,31.2,98133
2015-08-08 18:36:35.333934,31.2,98121
2015-08-08 18:36:36.346446,31.2,98121
2015-08-08 18:36:37.358798,31.2,98121
2015-08-08 18:36:38.371987,31.2,98109
2015-08-08 18:36:39.383607,31.2,98118
2015-08-08 18:36:40.396270,31.2,98121
2015-08-08 18:36:45.418894,31.2,98133
2015-08-08 18:36:45.428541,31.2,98130
2015-08-08 18:36:45.437093,31.2,98133
2015-08-08 18:36:45.445804,31.2,98148
2015-08-08 18:36:45.459179,31.2,98136
2015-08-08 18:36:46.472138,31.2,98139
2015-08-08 18:36:47.484759,31.2,98142
2015-08-08 18:36:56.945541,31.2,98139
2015-08-08 18:36:56.975108,31.2,98136
2015-08-08 18:36:57.002143,31.2,98133
2015-08-08 18:36:57.021756,31.2,98127
2015-08-08 18:36:57.040943,31.2,98133
2015-08-08 18:36:57.049567,31.2,98136
2015-08-08 18:36:57.058102,31.2,98139
2015-08-08 18:36:57.067201,31.2,98136
2015-08-08 18:36:57.075855,31.2,98142
2015-08-08 18:36:57.610488,31.2,98139
2015-08-08 18:36:58.622571,31.2,98142
2015-08-08 18:36:59.634613,31.2,98142
2015-08-08 18:37:00.647434,31.2,98139
2015-08-08 18:37:01.660370,31.2,98142
2015-08-08 18:37:02.672698,31.2,98145
2015-08-08 18:37:14.653569,31.2,98148
2015-08-08 18:37:14.686488,31.2,98153
2015-08-08 18:37:14.715200,31.2,98133
2015-08-08 18:37:14.744798,31.2,98127
2015-08-08 18:37:14.775127,31.2,98109
2015-08-08 18:37:14.806514,31.2,98092
2015-08-08 18:37:14.828581,31.2,98086
2015-08-08 18:37:14.843991,31.2,98092
2015-08-08 18:37:14.864851,31.2,98103
2015-08-08 18:37:14.877191,31.2,98103
2015-08-08 18:37:14.895570,31.2,98106
2015-08-08 18:37:14.922185,31.2,98112
2015-08-08 18:37:15.835473,31.2,98101
2015-08-08 18:37:16.848704,31.2,98101
2015-08-08 18:37:17.863049,31.2,98095
2015-08-08 18:37:18.873872,31.2,98106
2015-08-08 18:37:19.886499,31.2,98118
2015-08-08 18:37:20.899191,31.2,98121
2015-08-08 18:37:21.911334,31.1,98136
